,D,vo,fs,mean_f_coll,error_f_coll,mean_no,error_no,per_motor_force,force_per_2motor_state
0,0.0,1e-07,1e-12,-1.1205830113968638e-12,7.40448625248189e-15,1.1211166044171939,0.0015649940587611883,-9.995240521652897e-13,-1.5704694258293442e-12
1,0.0,1e-07,2e-12,-1.1487119703962308e-12,7.92691469264642e-15,1.1156361874512126,0.0017669937765492512,-1.0296474633191876e-12,-1.3534145705042108e-12
2,0.0,1e-07,3e-12,-1.305654752028097e-12,8.838922105203268e-15,1.0892572619193528,0.001593060383455279,-1.1986651800947698e-12,-1.1942613140629206e-12
3,0.0,1e-07,4e-12,-1.2288767671221185e-12,1.0271979891187897e-14,1.0785520508563793,0.0018187922561276857,-1.1393764131702129e-12,-7.133542182364707e-13
4,0.0,1e-07,5e-12,-1.837942963300367e-12,1.4197459787682218e-14,1.1552185234710395,0.002183550143586828,-1.590991596791551e-12,-2.157480217163489e-12
5,0.0,1e-07,6e-12,-1.062859946233314e-12,1.5611095478333706e-14,1.1449020931802836,0.0023864915474219473,-9.283413425168306e-13,-1.3212685653598294e-12
6,0.0,1e-07,7e-12,-1.6029778054943722e-12,1.745969862899992e-14,1.1488290103248553,0.002707834886160589,-1.395314525562944e-12,-1.577611912641288e-12
7,0.0,1e-07,8e-12,-9.270733738410759e-13,1.5094295991478237e-14,1.129251012145749,0.002615974904653179,-8.20963066554614e-13,-1.419703376297991e-12
8,0.0,2e-07,1e-12,-1.3139320541022942e-12,4.156198731748675e-15,1.0605353295398043,0.0008933452639420287,-1.2389328459924534e-12,-1.5818693247561695e-12
9,0.0,2e-07,2e-12,-1.6268650838306067e-12,6.0726034138259276e-15,1.077914516873783,0.0014079928811420036,-1.5092709657059962e-12,-1.1348632779392816e-12
10,0.0,2e-07,3e-12,-2.032939082285529e-12,7.718934853871291e-15,1.073932166500408,0.0012687965824559446,-1.89298648992907e-12,-2.007218441238489e-12
11,0.0,2e-07,4e-12,-2.5632487923488214e-12,1.154119412947019e-14,1.1309312553043747,0.0017530950804858826,-2.2664939007799887e-12,-2.861806897841674e-12
12,0.0,2e-07,5e-12,-3.0090675204714656e-12,1.1823671276843553e-14,1.0650256765833892,0.0011477741232920554,-2.825347394557264e-12,-3.815858808899979e-12
13,0.0,2e-07,6e-12,-2.7265674325678826e-12,1.1804815917700472e-14,1.0507213850593138,0.0012589248350023015,-2.5949480721894383e-12,-1.3594570295479473e-12
14,0.0,2e-07,7e-12,-3.3311415022801023e-12,1.5541049328934664e-14,1.0831743491907195,0.0016560094195063764,-3.0753511701684256e-12,-2.5360147792063925e-12
15,0.0,2e-07,8e-12,-3.5572234649878673e-12,1.5073158259317953e-14,1.0647219419550122,0.001382344592916793,-3.3409882193807283e-12,-2.6355745486164694e-12
