,ASB1n1v2,ASB1n2v2,ASB1n3v2,ASB1n4v2,ASB1n5v2,,,,
100,21.164817,23.984241,4.630386,2.022367,12.268228,,,,
101,8.529104,4.565668,11.91284,16.84643,7.11772,,,,
102,11.72171,7.167366,2.489968,0.1952,10.068217,,,,
103,3.559043,1.397358,3.928832,2.244183,0.068558,,,,
104,0.308346,13.346862,2.501007,2.489855,10.256664,,,,
105,22.72179,15.641849,3.308702,5.612898,3.748899,,,,
106,6.156365,12.394597,39.619974,4.79724,3.005717,,,,
107,1.794106,3.464308,9.307395,14.93375,7.888012,,,,
108,13.122003,2.618031,1.224349,7.278239,24.314481,,,,
109,3.501852,9.629522,0.118864,0.244204,0.722534,,,,
110,0.627038,37.15471,9.502548,0.046865,2.539359,,,,
111,0.025098,0.876825,11.037868,1.598896,9.926061,,,,
112,18.594406,2.39176,7.009083,12.498295,3.380873,,,,
113,12.377521,18.869789,5.391701,0.568908,0.137106,,,,
114,29.961374,1.195462,37.617926,4.042905,2.88043,,,,
115,0.836891,1.088169,17.352797,17.351572,2.144546,,,,
116,0.264545,2.211794,3.218595,5.971577,1.989991,,,,
117,2.084551,2.934065,6.880139,3.394391,1.675563,,,,
118,8.378296,2.61709,19.588035,6.943027,0.716436,,,,
119,15.988,1.040429,2.76766,6.421695,2.224738,,,,
120,12.773798,6.456076,1.163146,18.517798,4.904099,,,,
121,2.797752,0.318944,5.779662,3.230218,1.009009,,,,
122,9.163849,3.856968,1.077649,2.191973,2.248434,,,,
123,30.743364,2.852936,6.469762,21.995261,6.183504,,,,
124,8.508379,5.397175,30.230246,3.0742,0.560526,,,,
125,10.764011,1.169674,4.953905,6.855562,1.392241,,,,
126,18.617143,4.025998,19.89543,12.41945,31.047987,,,,
127,12.538093,2.401034,1.832113,5.354065,10.880966,,,,
128,3.366919,5.492326,9.128953,2.261777,6.111953,,,,
129,11.190735,0.580138,19.678434,0.362048,0.180279,,,,
130,5.858276,3.143039,6.695992,7.088426,2.517394,,,,
131,34.595686,13.043156,1.028782,0.460099,10.24547,,,,
132,1.016778,1.842836,10.440432,8.313701,1.034258,,,,
133,47.874234,10.52454,5.318011,26.322391,0.212685,,,,
134,12.819854,7.049704,4.107049,1.445607,19.68316,,,,
135,5.106443,2.53737,9.436607,1.615942,2.344489,,,,
136,0.332078,0.761118,2.343107,4.32427,3.200136,,,,
137,14.9258,21.842865,4.471736,3.941847,17.580925,,,,
138,4.745715,6.473238,0.067983,3.639596,11.521629,,,,
139,17.243888,13.637149,7.800081,1.313522,3.588149,,,,
140,6.7807,5.382538,5.623638,2.598825,13.680319,,,,
141,10.511697,11.395067,4.669785,0.965833,5.705296,,,,
142,25.166527,14.755431,9.310926,0.371956,1.608515,,,,
143,6.833502,5.095556,27.19965,7.557176,16.092907,,,,
144,5.262287,3.696803,0.292204,3.66504,13.370948,,,,
145,2.071532,7.444976,10.46993,6.586171,4.38062,,,,
146,16.318417,23.86969,8.12719,2.30367,15.875239,,,,
147,1.669178,11.500335,17.805898,9.04423,7.999226,,,,
148,9.185679,1.141447,10.715161,6.436754,12.953129,,,,
149,13.565271,3.751978,3.336963,0.684836,6.078299,,,,
150,8.707709,3.480402,5.413279,5.976901,18.99946,,,,
151,15.020152,5.14964,7.954791,0.807412,21.163222,,,,
152,5.12845,2.803913,4.27242,1.900678,0.000889,,,,
153,7.5423,14.408353,0.870331,1.385941,2.013811,,,,
154,4.578964,0.767237,2.229527,7.323044,0.945386,,,,
155,0.335464,13.067887,8.663694,5.177288,0.648324,,,,
156,0.397351,15.064309,0.188925,0.716252,5.874224,,,,
157,11.668797,9.10247,0.531988,11.026152,2.529177,,,,
158,8.656437,25.896721,1.529725,5.087128,5.998005,,,,
159,10.614787,0.480956,0.397619,0.383113,13.419403,,,,
160,14.288759,0.173224,4.93356,3.099255,3.017241,,,,
161,4.04111,11.949349,5.996369,4.326134,6.794468,,,,
162,8.272106,0.125577,0.462871,0.663303,9.163319,,,,
163,2.331587,14.81606,6.485151,7.768787,3.769584,,,,
164,0.59193,0.879047,14.403009,0.646434,3.840277,,,,
165,14.898449,5.618927,0.018713,18.254822,0.030286,,,,
166,5.481934,10.911815,7.553445,2.935162,4.21954,,,,
167,17.045985,8.945745,5.19529,13.833943,28.313533,,,,
168,8.846278,9.353469,22.314899,2.106525,31.325541,,,,
169,2.1412,7.044468,10.626218,0.031951,1.715071,,,,
170,7.986792,13.057563,0.492506,5.27939,5.283342,,,,
171,3.360217,18.684917,1.418095,5.183533,5.247386,,,,
172,0.738638,0.494122,4.968746,3.127382,9.152751,,,,
173,10.585884,2.948408,3.961419,1.04102,2.776981,,,,
174,14.41843,4.514815,1.274208,0.404042,1.223236,,,,
175,1.425647,11.265251,9.181228,4.957661,11.299988,,,,
176,5.853753,3.073842,4.711159,1.713178,0.045447,,,,
177,0.372245,3.687726,2.461848,4.953148,14.194098,,,,
178,0.837575,5.987427,10.672157,10.182051,1.841039,,,,
179,6.032805,5.558159,6.811246,5.50732,1.665973,,,,
180,1.592853,10.059618,9.981497,4.538978,3.750438,,,,
181,0.657425,4.197237,9.40218,5.895496,1.45429,,,,
182,2.548124,1.874051,8.410554,7.768234,1.731667,,,,
183,1.981321,18.579096,2.923165,4.850587,5.865875,,,,
184,2.366496,16.149575,3.25815,13.805909,13.020362,,,,
185,2.439569,4.533669,4.852783,4.053471,1.183868,,,,
186,2.718656,1.188567,2.593327,7.804544,0.970347,,,,
187,8.687104,0.152245,21.467446,4.177617,4.410028,,,,
188,10.853481,3.981894,0.38,4.545531,3.473775,,,,
189,1.78327,10.748338,1.99853,3.676315,1.172453,,,,
190,4.554044,9.192658,5.879408,34.685675,3.593389,,,,
191,3.52519,2.370726,2.046264,9.464939,0.126015,,,,
192,6.299003,6.098943,1.496791,18.453155,12.318281,,,,
193,0.255466,1.092432,4.784019,1.442577,14.947161,,,,
194,2.146909,7.124214,9.246831,0.079819,30.664233,,,,
195,1.169135,0.153898,2.01296,6.576354,5.105641,,,,
196,15.227324,0.690885,27.44808,5.234052,6.398957,,,,
197,28.5516,13.54271,8.056479,6.019628,2.536461,,,,
198,26.821769,7.118344,4.974204,6.172193,11.525839,,,,
199,4.160259,18.632952,14.576996,1.259548,8.414443,,,,
