,n,height,bind rate
0,1,2.7677934117776263e-07,0.12180049696732431
1,2,2.723245644170672e-07,0.13808016215598357
2,3,2.6956437440516283e-07,0.14790850910824235
3,4,2.6784788461266497e-07,0.15391586858228487
4,5,2.6637080892955253e-07,0.1590189670385461
