,set,xlabel,D (um2s-1),ATP,Inp. velocity (ums-1),av_bound,bound_error,mean_run,runerror,mean_lifetime (s),liftimeerror,measured_velocity,vel_error
0,N=4 Mid [ATP],D0,0.0,0.0001,5.555555555555555e-07,1.2118716648000527,0.002794971385958691,8.332737376304044e-07,7.26647576973564e-08,1.5127150650051255,0.12981851788692236,5.508464593942422e-07,6.739555314019169e-08
1,N=16 Mid [ATP],D0,0.0,0.0001,5.555555555555555e-07,2.2372294372294372,0.03335619869913913,2.9167320788311643e-06,9.946095504973247e-07,5.23336225055492,1.781675794065088,5.573342603069161e-07,2.685548573724721e-07
2,N=4 Mid [ATP],D2,0.01,0.0001,5.555555555555555e-07,1.2359765051395006,0.0026138298624972895,9.326547359536587e-07,8.879036018969027e-08,1.697648504994433,0.15766046453190835,5.493803535948786e-07,7.306592003907829e-08
3,N=16 Mid [ATP],D2,0.01,0.0001,5.555555555555555e-07,2.657448145820239,0.03583397874333684,4.112432358282303e-06,4.721569483290961e-07,7.407841083556751,0.8539530759947479,5.55145866642672e-07,9.032102650372624e-08
4,N=4 Mid [ATP],D4,1.0,0.0001,5.555555555555555e-07,1.2982441812984893,0.0028647497527393502,9.957182023513535e-07,7.334322634061607e-08,1.8316581450424576,0.13429027868520987,5.436157424060552e-07,5.6496460262000644e-08
5,N=16 Mid [ATP],D4,1.0,0.0001,5.555555555555555e-07,2.706040268456376,0.03878408981983704,3.795374098434481e-06,3.233865403991019e-07,6.862895114582103,0.5830081560856899,5.530281368237973e-07,6.653964942853019e-08
